,collectionId,collectionName,totalNFTs
839593,2027,Ugly Duck WTF,9999
849592,1613,Unapologetic Apes,3010
852602,2022,Cosmic Coffee Cups,6500
859102,2024,Women Ape Yacht Club,9845
868947,2013,DubaiPeeps,600
869547,2019,Tomorrow's World,205
869752,2021,Model Eros Village,3887
873639,2015,The Hive Pals,726
874365,2020,Metabay by Metaplaces,216
874581,2012,The Skull Squad,665
875246,2017,Funga & Friends,3333
878579,2008,Si Juki: Lost in Jukiverse,3456
882035,2016,WOLFBOSS,667
882702,2014,TheNovatar,590
883292,2009,The Martians: Metaverse,5000
888292,2011,Stickmen Toys,5000
893292,2006,The Chosen of Civitas,398
893690,2004,DegenBrains,10000
903690,2001,Cardano Island,12999
916689,2002,Children of Ukiyo,9997
926686,2003,3L3PHANTS,7777
934463,1997,Hydro Whales Mining Club,9999
944462,2000,Down Bad Doomers,178
944640,1975,Food Fighters Universe,2260
946900,1996,7LuX,20000
966900,1998,The Orsetto Gang,6144
973044,1999,Farm Horses ZCoreClub,1034
974078,1981,yield bearing smolting,606
974684,1995,Rappears,2200
976884,1994,ANIM.JP,6123
983007,1982,Thumbs Self Loathing Genesis ,1235
984242,1993,Cosmic Marshmallows,5555
989797,1950,FLICKYGANG BY FLICKPLAY,2222
992019,1992,Cosmic Citizens,561
992580,1990,Spirit4,10000
1002580,1989,SolKids,1730
1004310,1919,Feral Fish,2222
1006532,1988,Pawn Bots,7411
1013943,1987,edo2022,2022
1015965,1986,MRI Fight Club,4444
1020409,1985,Moonbirds Oddities,10000
1030409,1984,Mojis Art,6654
1037063,1856,The Paradox Metaverse,6681
1043744,1983,CryptoDickbutts,5200
1048944,1978,Pochi Inu,256
1049200,1980,Cool Gang Tommy,999
1050199,1979,DOPE: Dawn Of the Pixel Empire,10000
1060199,1977,Pupzland,173
1060372,1976,Metaguardians: Sidekicks,4371
1064743,1974,SMATh World - PRD_X,4537
1069280,1973,Nina's Super Cool World,5080
1074360,1971,The Americans,10000
1084360,1970,TubzSocialClub V2,5555
1089915,1968,Groovy Guys,6999
1096914,1969,Sloth Roob,5353
1102267,1966,Hippynoids Project,6060
1108327,1954,Kodachrome V2,1500
1109827,1959,9Tales Phase 1,2345
1112172,1967,Chief Toad,10000
1122172,1963,BEARZ Genesis,549
1122721,1965,Elf World,3333
1126054,1964,RoboCosmic,11111
1137165,1946,wazzzup.wtf,2221
1139386,1962,The Saudis,5555
1144941,1961,DAO House Friends,9942
1154883,1943,Kanpai Pandas,9000
1163883,1957,XOXO By Maya & Yehuda Devir,10000
1173883,1958,Gridcraft Genesis Identities,3900
1177783,1956,downsies,3333
1181116,1955,Tamacorgi,1200
1182316,1953,Metashima - Lightning,4720
1187036,1952,Chubby Anxiety Society,5000
1192036,1951,Los Muertos Diablo,1000
1193036,1945,XBorg,2500
1195536,1949,ThePossessed,9991
1205527,1947,CryptoDudes Brotherhood,2222
1207749,1944,Project Ino,7998
1215747,1941,7sClub,2735
1218482,1928,h8rschix,9455
1227937,1904,Duckling,7777
1235714,1939,The Parrot Boss,500
1236214,1937,MONUmentals,3633
1239847,1940,CryptoQuest,1251
1241098,1936,AlphaDogs,3400
1244498,1935,The Villains,1666
1246164,1932,Chibi Lolita,12222
1258386,1931,BunnyGirls,4049
1262435,1934,AristoDog,3333
1265768,1933,Tasties,5000
1270768,1930,Verb,6500
1277268,1903,cryptokhat,10000
1287268,1927,Dogface Army,778
1288046,1926,Daosaur Genesis,333
1288379,1922,Smulips,5000
1293379,1915,Notorious Kings,3594
1296973,1920,Looney Tunes: What's Up Block?,4491
1301464,1918,Clementine's Nightmare Eclipse,10010
1311474,1917,WZRDS,10000
1321474,1912,City Of Block,5000
1326474,1916,A:\Aiko Virtual,8888
1335362,1914,PokerFish,150
1335512,1913,Singularity 0 Universe HUMAN,3232
1338744,1901,Meta Moose Club,1759
1340503,1895,SQUADTS,1623
1342126,1911,PSYCHROME Rug Runner,75
1342201,2146,the pixels inc,5062
1347263,1905,Swanky Space Squad,333
1347596,1908,Poor Dudes,9996
1357592,1910,Hijabi Queens,2500
1360092,1899,MoneyMonstersClub,1476
1361568,1909,Mutant Wolf Pack,3000
1364568,1907,SHIBA ARMY,5439
1370007,1906,Culture Cubs,3333
1373340,1902,MoonPepes,4200
1377540,1900,Cyber Bandits,5000
1382540,1791,Castle of Blackwater: Genesis,600
1383140,1898,Alpha Gang Generative,3009
1386149,1897,Swampverse: Creatures,1289
1387438,1896,Glitchies,888
1388326,1894,Moonrunners,10000
1398326,1893,Oblivious Ostriches,4892
1403218,1892,MoneyShark,180
1403398,1889,Crypto Bulls,1001
1404399,1891,Lions not Sheep,1776
1406175,1883,Kumite Genesis,9600
1415775,1886,Proud Lions Club,2076
1417851,1888,The Haughty Mummies,4070
1421921,1093,ASM AIFA All-Stars,36497
1453386,1093,ASM AIFAAll-Stars,36497
1458418,1887,Hero Galaxy: Anti-Heroes,3994
1462412,1885,EXO,10090
1472502,1884,LonelyPop,10000
1482502,1835,M3TA MOGULS: Genesis,4444
1486946,1882,STARFIGHTER CLUB,333
1487279,1879,Meta Labs Secret Agents,5088
1492367,1881,Banana Task Force Ape,6839
1494931,1881,BananaTask Force Ape,6839
1499206,1872,Voyagers,1457
1500663,1880,MetaSamurai,3332
1503995,1877,Non Frenly Trolls,10000
1513995,1878,Pillheads,6655
1520650,1876,Little Cats,2998
1523648,1875,MafiaBears,438
1524086,1874,Immortal Cat,1824
1525910,1873,Primates,10000
1535910,1870,h8rs,10069
1545979,1871,T-Poser,11111
1557090,1864,Chroma World Abstractars,9001
1566091,1838,Hangry Hippo,5553
1571644,1869,SneakerHeads,5000
1576644,1868,The High Society,10000
1586644,1866,Welly Friends,4273
1590917,1865,DANKBOTS,6250
1597167,1847,Meta Frog Club,5555
1602722,1863,MEE6 Avatars,4444
1607166,1854,Lazy 8 Yacht Club,2489
1609655,1858,The Little Liars Genesis,555
1610210,1860,WZKD,4321
1614531,1861,HOUSE OFBELIEVERS,1750
1616281,1859,WitLink Land,6211
1622492,1855,Squirrelly Squirrels,1252
1623744,1857,Antvasion,477
1624221,1853,IlluminatiNFT,8128
1632349,1852,Dippies Vans,11500
1643849,1846,Fierce Models,10000
1653849,1851,Moonlanderz,7890
1661739,1850,SNW Cardborg,1318
1663057,1844,Anime Metaverse: Soulmates,5000
1668057,1834,FearCity,3333
1671390,1848,Okami,505
1671895,1843,Goblincatz,9999
1681894,1842,Zombie Banana Bunch,6969
1688863,1841,Breadaverse,6900
1695763,1840,Fat Cats Genesis,5000
1700763,1839,Meta Labs Field Agents,6003
1706766,1837,Stoned Duck Lifestyle Club,4042
1710808,1830,Just Ape.,10000
1720808,1833,Flaming Phenix Club,6666
1727474,1832,Dobies Collection,7486
1734960,1831,Based Ghouls,5772
1740732,1829,GODLY LEGION,7777
1748509,1828,The Emptyheads Society Genesis,555
1749064,925,Prime Ape Planet,7979
1757043,1739,MetaWolves,4115
1761158,1827,ShitBeast,10000
1771158,1826,pablos.lol,10000
1781158,1825,Gnomeville,8887
1790045,1823,TipsyVerse: Genesis Penguins,2345
1792390,1824,Flower Lolita,6666
1799056,1813,Bulls & Apes Project - Genesis,10010
1809066,1822,RektFolios,10000
1819066,1810,The Matrix Avatars,56891
1842516,1810,The MatrixAvatars,56891
1872301,1810,TheMatrix Avatars,56891
1875957,1818,Solana Room,3333
1879290,1821,troll-town.wtf,9999
1889289,1820,BRAQFRNDS,3333
1892622,1819,Lazy Longhorns,566
1893188,1816,Free Hand,2882
1896070,1817,Frenchie Ballers,5546
1901616,1815,Binkies,10000
1911616,1814,C-02,6827
1918443,1812,VividLimited,8888
1927331,1805,Rare Land,10001
1937332,1811,Chipos,6666
1943998,1807,Psychonautz,9999
1953997,1809,MekAI,5000
1958997,1808,We Are All Going to Die,6666
1965663,1806,Cheebs,10000
1975663,1804,The Neko NFT,318
1975981,1803,Slyly Foxes,10000
1985981,1802,Akumu Dragonz,10000
1995981,1784,Neopets Metaverse,4225
2000206,1792,TABOOPUNKS,2399
2002605,1800,Dorks,8888
2011493,1783,Tigerbob Genesis,1000
2012493,1798,YAMATO,10000
2022493,1799,400DRUMS,142
2022635,1797,Bali Beach Boyz,5555
2028190,1795,CryptoHippos,10000
2038190,2195,"Damien Hirst, The Currency",1852
2040042,2155,Wavelength by Kaleb Johnston,1111
2041153,2154,Nuclear Nerds of the Accidental Apocalypse,8999
2050152,2152,Creeps Genesis,11111
2061263,2151,Cool Pets NFT,19292
2080555,2150,Wassies by Wassies,12345
2081268,2150,Wassies byWassies,12345
2092900,2149,Letters by Vinnie Hager,999
2093899,2148,Boss Beauties,9999
2103898,2147,TIME Pieces Build a Better Future: Genesis Drop,4676
2108574,2142,Crypto Coven,9768
2118342,1754,Trippin Ape Tribe,9997
2128339,1727,PXN: Ghost Division,10000
2138339,1796,Thicc Frens Genesis,5552
2143891,1793,Photosynthesis,4444
2148335,1789,AngelBlock,2405
2150740,1794,EYE-EYE-EYE,5000
2155740,1790,Dragon Molly,3333
2159073,1774,Poker Heroes,847
2159920,1787,11 Captain's Club,1111
2161031,1769,Tales From The Wild - First Egg,2223
2163254,1782,Third Eye Club,1895
2165149,1781,Fallout Freaks,5727
2170876,1780,Creature Culture Collection',10000
2180876,1779,Jikan Studios,8888
2189764,1778,rektguy,8814
2198578,1777,Elftown.wtf,9977
2208555,1776,Adorable Avocados,6412
2214967,1775,Pokey Universe,6972
2221939,1772,World of Irukandji,2331
2224270,1765,Boki,7777
2232047,1742,SHIBABETS GENESIS,3478
2235525,1773,Divine Anarchy - Spirit Animals,2510
2236064,1773,DivineAnarchy - Spirit Animals,2510
2238035,1771,Rat Gang Genesis,3333
2241368,1770,NO HESI Car Club,300
2241668,1768,Alfie World by Alfie,8888
